BOOTH,NAMA KARYA,Deskripsi Singkat,Benefit,Expert yang Terlibat
AGIT,Cyber Security Services Business,"Implementation of Cyber Security Services for customers: (Operations: Security Operation Center (including MDR), Vulnerability Management, Threat Intelligence & Dark Web Monitoring, Professional Services: Penetration Testing)",Business Impact: Revenue YTD Sep 2025: IDR 36.5 Bio,- Agung Wiratama
AGIT,"From Dull to Dazzling: Transforming Photo Quality for Printing Partners
(Color Management Project)","The solution enhances digital photo brightness and contrast by optimizing the TRC. Through controlled tonal redistribution, it makes images appear clearer, more vibrant, and naturally balanced without losing detail.","Business Impact:
Projected ORS Revenue Full Year 2025: IDR 8.5 Bio",- Teguh Sardjono Muktiwidjaja
AGIT,DevSecOps services Implementation,Implementation & Roll-Out CI/CD Framework  – Applying the methodology/framework to relevant projects,Business Impact: Revenue YTD Sep 2025: 56.1 Bio,- Indra Meguga
AAL,"Tandan budah dari Varietas DxP AAL Lestari MRG, DxP AAL Sejahtera MRG, dan DxP AAL Nirmala MRG
",Tandan buah dari Tiga varietas kelapa sawit unggul baru yang memiliki produktifitas tinggi dan moderat tahan terhadap penyakit yang disebabkan okeh  Ganoderma,Varietas baru yang memiliki produktifitas tinggi dan menjadi solusi terhadap serangan penyakit Ganoderma. Varietas ini dapat mengurangi tingkat kematian akibat penyakit tersebut dan memperpanjang umur ekonomis tanaman.,"-Tim departemen Breeding, Molekuler, dan Tissue Culture dan Crop Protection "
AAL,"Pupuk Hayati ASTEMIC (Astra Efficient Microbes)
",Implementasi aplikasi biofertilizer Astemic di perkebunan kelapa sawit seluas 51.345 Ha.,Efisiensi biaya pemupukan: sebesar Rp 79 Miliar pada tahun 2025. Reduksi emisi gas rumah kaca (GRK): berpotensi menurunkan emisi CO₂ sebesar 17.146 kTonCO2.eq dan keberlanjutan lingkungan.,-Tim departemen Agronomy and Microbiology (AGM) dan departemen Soil and Fertilizer Research (SFR)
TTA,Eng Ing Ang ABB,"Sebuah inisiatif strategis untuk memulihkan performa operasional di Disposal Jerez
","Inovasi ini berhasil mengembalikan kapasitas Disposal Jerez hingga 35 juta meter kubik, menyelamatkan 28.000 ton batubara, serta mengurangi jarak angkut overburden","- Harin Musin
- Wiba
- Arbastya Masdar Rochman
- Michael Naibaho"
TTA,Auger Mining  Project,"Sebuah inovasi penambangan yang dikembangkan untuk memanfaatkan sumber daya batubara ekonomis yang berada di bawah Sungai Kuatan, tanpa harus melakukan pemindahan aliran sungai, sesuai dengan regulasi kawasan hutan.",diperoleh tambahan produksi sebesar 58.194 ton batubara,"- Harin Musin
- Arbastya Masdar Rochman
- Michael Naibaho"
TTA,Bawal,"metode machine learning forecasting, proyek ini memanfaatkan data sensor di area hulu yaitu Muara Tuhup, Muara Teweh dan Paring Lahung untuk memprediksi TAS hingga 10 hari ke depan dengan akurasi minimal 80 persen.
",memprediksi TAS hingga 10 hari ke depan dengan akurasi minimal 80 persen.,- M Faizal Akbar
TTA,Centrifuge,"proses pengeringan batubara dilakukan untuk menurunkan total moisture, meningkatkan efisiensi biaya transportasi, meningkatkan kualitas Caloric value batubara serta mengurangi risiko dampak lingkungan seperti self combustion.",membantu mengembalikan kondisi Total Moisture pada batubara saat sebelum dicuci sehingga Kualitas Caloric value pada batubara sesuai dengan spesifikasi penjualan.,"- Anggi Yuliandus, Dedie Heryawan"
ADM,Smart Operation Manufacture System,"Sistem terintegrasi berbasis digital yang menghubungkan seluruh aktivitas produksi, mencakup proses manufaktur, maintenance, kualitas, logistik, dan energi untuk mencapai operasi yang efisien, berpresisi tinggi, dan berkelanjutan (zero downtime dan zero waste).","Meningkatkan produktivitas
Peningkatan kualitas
Mengurangi downtime
Efisiensi energi
","- Budi Pamungkas
- Rifky Aji N."
